alpha,angles,avg,beta,dt,std
0.0,"[ 3.98131658  2.5332946   3.98141985  2.53337493  3.9814927   2.53342751
  3.98153512  2.53345233  3.98154711  2.53344939]",3.25743101174943,0.0,1.00990099009901,0.7240312612657372
0.0,"[ 0.42863488  0.42874749  0.4288027   0.42880048  0.42874084  0.4286238
  6.08823913  0.42850601  0.42866372  0.42876408]",0.9946523113702439,100000.0,1.00990099009901,1.6978622755017339
100000.0,"[ 3.06014945  3.45912358  3.06018636  3.45913272  3.06017012  3.45909484
  3.06010074  3.45900995  3.05997823  3.45887805]",3.2595824043246906,0.0,1.00990099009901,0.19946544266122326
0.0,"[ 3.40161728  3.11806126  3.11834863  3.11815266  3.40164234  3.11815544
  3.11834833  3.11805788  3.4016156   3.11823116]",3.2032230579844714,200000.0,1.00990099009901,0.12988464128183747
200000.0,"[ 2.25851232  4.26534378  2.25833405  4.26512604  4.26513092  2.2583386
  4.26534612  2.25851366  4.26540867  2.25849628]",3.2618550417035066,0.0,1.00990099009901,1.003416066856685
0.0,"[ 0.13732112  0.13762626  6.66002708  0.13729735  0.13775317  6.65991188
  0.13729402  6.65999373  0.13766537  0.13731113]",2.0942201103393896,300000.0,1.00990099009901,2.988989879161787
300000.0,"[ 1.57306234  4.95511931  4.95548942  1.57333117  4.95549108  4.95511463
  1.57305773  4.95550675  1.57332887  4.95547073]",3.602497203742422,0.0,1.00990099009901,1.656918296022835
0.0,"[ 3.67196949  3.67196223  3.67195381  3.67194423  3.67193347  3.67192155
  3.67190847  3.67189421  2.8531157   3.67188535]",3.590048852453042,400000.0,1.00990099009901,0.24564438552995518
400000.0,"[ 5.53255458  1.00149889  5.53252002  5.5325597   1.0014979   5.53251391
  5.53256468  1.00149662  5.53250766  5.53256952]",4.1732283475585294,0.0,1.00990099009901,2.076385042603447
0.0,"[ 0.67416371  7.20235322  7.20256969  0.67398118  7.20270262  0.67399563
  7.20254898  7.20238482  0.67413405  7.20266843]",4.591150232967925,500000.0,1.00990099009901,3.1982837279197787
500000.0,"[ 5.99969454  5.99953948  0.54009598  5.99948136  5.99969438  5.99954137
  0.54009548  5.99947913  5.99969421  5.99954325]",4.907685918239588,0.0,1.00990099009901,2.183795095555812
0.0,"[  4.19812832   4.19829406  10.72974709   4.19839087   4.19815836
   4.19813552   4.19832239  10.72975606   4.19835795   4.19814655]",5.504543718041986,600000.0,1.00990099009901,2.6126039311418903
600000.0,"[ 6.35940685  6.3594769   6.35947037  6.35938728  6.35922768  0.18633481
  6.35931704  6.3594384   6.35948321  6.35945144]",5.742099398310993,0.0,1.00990099009901,1.851921531397981
0.0,"[ 7.71972272  7.7196249   7.71940571  1.18492876  7.71958559  7.7197111
  7.71971516  7.71959778  1.18494525  7.71938671]",6.412662366978196,700000.0,1.00990099009901,2.6138626846348276
