,alpha,dtfact,dtheta,t,turn
0,0.0,100.0,0.130897202893,0.0206060606061,0
1,0.0,100.0,0.126498243198,88.503030303,1
2,0.0,100.0,0.187547917469,176.995757576,2
3,0.0,100.0,0.183148957774,265.478181818,3
4,0.0,100.0,0.178749998019,353.96060606,4
5,0.0,100.0,0.174351038213,442.443030303,5
6,0.0,100.0,0.16995207837,530.925454545,6
7,0.0,100.0,0.165553118488,619.407878787,7
8,0.0,100.0,0.161154158588,707.89030303,8
9,0.0,100.0,0.156755198677,796.372727272,9
10,0.0,100.0,0.152356238775,884.855151514,10
11,0.0,200.0,0.0654485543521,0.010303030303,0
12,0.0,200.0,0.0941230837293,88.4978787879,1
13,0.0,200.0,0.0900733318736,176.98030303,2
14,0.0,200.0,0.0860235800191,265.462727273,3
15,0.0,200.0,0.0819738281531,353.945151515,4
16,0.0,200.0,0.0779240762753,442.427575757,5
17,0.0,200.0,0.0738743244212,530.91,6
18,0.0,200.0,0.0698245725623,619.392424242,7
19,0.0,200.0,0.0657748207313,707.874848484,8
20,0.0,200.0,0.0944493501484,796.362424242,9
21,0.0,200.0,0.0903995983634,884.844848484,10
22,0.0,500.0,0.026179416465,0.00412121212121,0
23,0.0,500.0,0.0353171511075,88.4886060606,1
24,0.0,500.0,0.0313651772702,176.971030303,2
25,0.0,500.0,0.0274132033983,265.453454546,3
26,0.0,500.0,0.0365509380424,353.937939393,4
27,0.0,500.0,0.0325989641711,442.420363634,5
28,0.0,500.0,0.0286469902639,530.902787876,6
29,0.0,500.0,0.0377847249296,619.387272723,7
30,0.0,500.0,0.0338327510624,707.869696965,8
31,0.0,500.0,0.0298807771684,796.352121206,9
32,0.0,500.0,0.0259288032824,884.834545447,10
33,0.0,1000.0,0.0130897078617,0.00206060606061,0
34,0.0,1000.0,0.0156965562768,88.4855151516,1
35,0.0,1000.0,0.0183034047444,176.968969697,2
36,0.0,1000.0,0.0143653992168,265.451393938,3
37,0.0,1000.0,0.0169722476772,353.934848482,4
38,0.0,1000.0,0.0130342421793,442.417272724,5
39,0.0,1000.0,0.0156410907456,530.900727269,6
40,0.0,1000.0,0.0182479393013,619.384181818,7
41,0.0,1000.0,0.01430993391,707.866606065,8
42,0.0,1000.0,0.0169167825171,796.350060614,9
43,0.0,1000.0,0.012978777115,884.83248486,10
44,0.0,2000.0,0.00654485392019,0.0010303030303,0
45,0.0,2000.0,0.00915519428198,88.4844848483,1
46,0.0,2000.0,0.00849310778416,176.967424241,2
47,0.0,2000.0,0.0078310212344,265.450363635,3
48,0.0,2000.0,0.00716893466905,353.933303032,4
49,0.0,2000.0,0.00650684813928,442.41624243,5
50,0.0,2000.0,0.00911718854076,530.899696979,6
51,0.0,2000.0,0.00845510190426,619.382636377,7
52,0.0,2000.0,0.00779301519201,707.865575775,8
53,0.0,2000.0,0.0071309284339,796.348515173,9
