,alpha,dtfact,dtheta,t,turn
0,0.0,100.0,0.135296162636,88.4618181818,0
1,0.0,100.0,0.139695122433,176.944242424,1
2,0.0,100.0,0.144094082255,265.426666667,2
3,0.0,100.0,0.148493042096,353.909090909,3
4,0.0,100.0,0.152892001956,442.391515151,4
5,0.0,100.0,0.157290961817,530.873939394,5
6,0.0,100.0,0.161689921669,619.356363636,6
7,0.0,100.0,0.166088881499,707.838787878,7
8,0.0,100.0,0.170487841311,796.321212121,8
9,0.0,100.0,0.1748868011,884.803636363,9
10,0.0,200.0,0.0694983062315,88.4721212121,0
11,0.0,200.0,0.0735480581122,176.954545454,1
12,0.0,200.0,0.0775978100172,265.436969697,2
13,0.0,200.0,0.0816475619125,353.919393939,3
14,0.0,200.0,0.0856973138269,442.401818181,4
15,0.0,200.0,0.0897470657359,530.884242424,5
16,0.0,200.0,0.0937968176476,619.366666666,6
17,0.0,200.0,0.0651222883071,707.854242424,7
18,0.0,200.0,0.0691720402212,796.336666666,8
19,0.0,200.0,0.0732217921411,884.819090908,9
20,0.0,500.0,0.0301313902974,88.4783030303,0
21,0.0,500.0,0.0340833641297,176.960727273,1
22,0.0,500.0,0.0249456294244,265.445212121,2
23,0.0,500.0,0.0288976032553,353.927636363,3
24,0.0,500.0,0.0328495771036,442.410060604,4
25,0.0,500.0,0.0368015509398,530.892484846,5
26,0.0,500.0,0.027663816266,619.376969693,6
27,0.0,500.0,0.031615790046,707.859393934,7
28,0.0,500.0,0.0355677637721,796.341818176,8
29,0.0,500.0,0.0264300289639,884.826303023,9
30,0.0,1000.0,0.017027713419,88.4803636364,0
31,0.0,1000.0,0.0144208649817,176.963818181,1
32,0.0,1000.0,0.0183588705466,265.446242423,2
33,0.0,1000.0,0.0157520221796,353.929696967,3
34,0.0,1000.0,0.0131451737941,442.413151512,4
35,0.0,1000.0,0.0170831793526,530.895575754,5
36,0.0,1000.0,0.0144763309729,619.379030303,6
37,0.0,1000.0,0.0184143365859,707.861454549,7
38,0.0,1000.0,0.0158074881964,796.344909099,8
39,0.0,1000.0,0.0132006398075,884.828363648,9
40,0.0,2000.0,0.00720694033401,88.4819090907,0
41,0.0,2000.0,0.0078690269417,176.964848484,1
42,0.0,2000.0,0.00853111344186,265.447787877,2
43,0.0,2000.0,0.00919320001639,353.930727275,3
44,0.0,2000.0,0.00658285969112,442.414181824,4
